raw_name,canonical_name
Genomics & Computational Biology,Bioinformatics
Atmospheric & Oceanic Sciences,Earth Sciences
Computer Engineering,Electrical Engineering
Computational & Systems Biology,Computational Biology
Industrial & Systems Engineering,Industrial Engineering
Computer Science & Technology,Computer Science
Electronic Engineering,Electrical Engineering
Automation,Systems Engineering
Applied Mathematics & Statistics,Applied Mathematics
Civil & Systems Engineering,Civil Engineering
Biophysics,Biochemistry
Computational Medicine,Computational Biology
Chemical & Nano Engineering,Chemical Engineering
Structural Engineering,Civil Engineering
Cognitive Science,Neuroscience
Biostatistics,Statistics
Chemistry & Chemical Biology,Chemistry
Electrical Engineering & Information Technology,Electrical Engineering
Mechanical Engineering & Process Engineering,Mechanical Engineering
"Robotics, Systems & Control",Systems Engineering
Health Sciences & Technology,Biomedical Engineering
Biotechnology,Biochemistry
Atmospheric Sciences,Earth Sciences
Mechanical & Industrial Engineering,Mechanical Engineering
Mathematics & Statistics,Mathematics
Computing,Computer Science
Biochemistry & Biotechnology,Biochemistry
Aeronautics,Aerospace Engineering
Design Engineering,Engineering (General)
Energy,Environmental Engineering
Neural Science,Neuroscience
Chemical Biology,Biochemistry
Naval Architecture & Ocean Engineering,Engineering (General)
Industrial Engineering & Management Sciences,Industrial Engineering
Information Science,Computer Science
Astronomy,Astrophysics
Earth & Planetary Science,Earth Sciences
Mathematical Engineering & Information Physics,Applied Mathematics
Industrial & Operations Engineering,Industrial Engineering
Astrophysics & Space Sciences,Astrophysics
Economics,Interdisciplinary Sciences
Computational Neuroscience,Neuroscience
Environmental & Earth Sciences,Earth Sciences
Actuarial Mathematics,Actuarial Science
Nanoscience,Materials Science
Mathematical Modelling,Applied Mathematics
Environmental & Natural Resource Economics,Interdisciplinary Sciences
Computer Sciences,Computer Science
Biomedical Sciences,Biomedical Engineering
Earth Sciences & Environment,Earth Sciences
Statistics & Operations Research,Statistics
Applied Sciences,Engineering (General)
Bioinformatics & Computational Biology,Bioinformatics
Environmental Sciences,Earth Sciences
Earth & Space Sciences,Earth Sciences
Nuclear Physics,Nuclear Engineering
Environmental Science,Earth Sciences
Biomedicine,Computational Biology
Oceanography,Earth Sciences
Chemistry & Chemical Engineering,Chemical Engineering
Life Sciences Engineering,Biomedical Engineering
Microengineering,Engineering (General)
Environmental Sciences & Engineering,Environmental Engineering
Robotics,Systems Engineering
Data Engineering & Analytics,Data Science
Computational Mechanics,Computational Science
Robotics & Autonomous Systems,Artificial Intelligence
Actuarial Science & Mathematics,Actuarial Science
Statistics & Scientific Computation,Statistics
Petroleum Engineering,Engineering (General)
Computational Engineering,Computational Science
Mining Engineering,Engineering (General)
Materials Engineering,Materials Science
"Nuclear, Plasma & Radiological Engineering",Nuclear Engineering
Atmospheric & Oceanic Science,Earth Sciences
Data Science & Analytics,Data Science
Quantitative Finance,Applied Mathematics
Computational Sciences,Computational Science
Cognitive Neuroscience,Neuroscience
Molecular & Cellular Life Sciences,Biochemistry
Mechanical Engineering (via King's),Mechanical Engineering
Neuroinformatics,Neuroscience
Industrial & Manufacturing Systems Engineering,Industrial Engineering
Geodesy,Earth Sciences
Statistics & Applied Probability,Statistics
Dynamical Neuroscience,Neuroscience
Computer Science & Applied Mathematics,Computer Science
Particle Physics & Astrophysics,Astrophysics
Computational Cognitive Science,Neuroscience
Mining & Materials Engineering,Materials Science
Actuarial Studies,Actuarial Science
Data Analytics,Data Science
Computational Life Sciences,Computational Biology
Translational Biology & Molecular Medicine,Computational Biology
Data Science & Artificial Intelligence,Data Science
Agricultural Sciences,Interdisciplinary Sciences
Energy & Power Engineering,Environmental Engineering
Nanosciences,Materials Science
Engineering Mathematics,Applied Mathematics
Computational Intelligence,CS & AI
Meteorology,Earth Sciences
